Rk,G,2022 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
27,11,2022-06-13,FIN,GSW,,BOS,5,W (+10),0,26:10:00,6,8,0.75,1,3,0.333,2,2,1,1,4,5,0,3,0,0,3,15,15.5,+16
28,12,2022-06-16,FIN,GSW,@,BOS,6,W (+13),0,19:46,2,6,0.333,0,2,0,2,2,1,1,2,3,2,3,1,1,5,6,6,+18
29,1,2023-04-15,WC1,GSW,@,SAC,1,L (-3),0,20:24,4,7,0.571,0,2,0,0,0,,1,3,4,2,2,0,2,3,8,6.5,-3
30,2,2023-04-17,WC1,GSW,@,SAC,2,L (-8),0,26:48:00,5,6,0.833,2,3,0.667,1,2,0.5,3,3,6,0,2,0,2,0,13,13.4,-1
31,,2023-04-20,,GSW,,SAC,,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,3,2023-04-23,WC1,GSW,,SAC,4,W (+1),0,7:14,1,3,0.333,0,1,0,0,0,,0,0,0,0,0,0,0,0,2,0.3,-11
33,4,2023-04-26,WC1,GSW,@,SAC,5,W (+7),0,15:37,4,5,0.8,0,1,0,0,0,,4,2,6,0,2,0,0,1,8,11.1,0
34,5,2023-04-28,WC1,GSW,,SAC,6,L (-19),0,10:29,0,1,0,0,0,,0,0,,0,3,3,0,0,1,2,1,0,-1.5,-8
35,6,2023-04-30,WC1,GSW,@,SAC,7,W (+20),0,16:16,1,2,0.5,0,0,,0,0,,1,2,3,1,0,4,1,4,2,3.2,-13
36,7,2023-05-02,WCS,GSW,,LAL,1,L (-5),0,12:03,1,3,0.333,0,2,0,0,0,,2,1,3,2,0,0,0,1,2,3,-6
37,8,2023-05-04,WCS,GSW,,LAL,2,W (+27),0,8:44,3,3,1,0,0,,1,2,0.5,3,2,5,0,0,0,1,1,7,7,+1
38,9,2023-05-06,WCS,GSW,@,LAL,3,L (-30),0,12:50,4,7,0.571,0,1,0,0,0,,2,1,3,0,1,1,0,1,8,7.7,-15
39,10,2023-05-08,WCS,GSW,@,LAL,4,L (-3),1,23:22,7,9,0.778,1,2,0.5,0,0,,1,2,3,2,0,0,1,1,15,12.8,+3
40,11,2023-05-10,WCS,GSW,,LAL,5,W (+15),1,27:27:00,4,5,0.8,1,2,0.5,4,5,0.8,3,3,6,1,1,0,2,4,13,11.8,+25
41,12,2023-05-12,WCS,GSW,@,LAL,6,L (-21),1,10:25,2,3,0.667,0,1,0,0,0,,2,0,2,1,0,0,0,2,4,4,-18
